# ----------------------------------------
# Wasabi Mobile Data
# User Revenue Revenue per User
# 20191224-20191231
# ----------------------------------------

Date,Users,Product Revenue,Revenue per User
20191224,187,US$12.31,US$0.07
20191225,47,US$1.06,US$0.02
20191226,27,US$0.00,US$0.00
20191227,22,US$0.00,US$0.00
20191228,15,US$0.00,US$0.00
20191229,15,US$0.00,US$0.00
20191231,13,US$0.00,US$0.00
20191230,11,US$0.00,US$0.00
,337,US$13.37,US$0.04

Day Index,Users
24/12/2019,187
25/12/2019,47
26/12/2019,27
27/12/2019,22
28/12/2019,15
29/12/2019,15
30/12/2019,11
31/12/2019,13
0,337
