# ----------------------------------------
# Wasabi Mobile Data
# Sessions
# 20191224-20191231
# ----------------------------------------

Date,Number of Sessions per User,Avg. Session Duration
20191227,2.18,00:16:49
20191225,2.13,00:24:20
20191226,1.96,00:22:46
20191228,1.80,00:23:16
20191229,1.60,00:15:38
20191224,1.55,00:24:02
20191231,1.54,00:15:15
20191230,1.45,00:20:09
,1.72,00:22:35

Day Index,Number of Sessions per User
24/12/2019,1.55
25/12/2019,2.13
26/12/2019,1.96
27/12/2019,2.18
28/12/2019,1.80
29/12/2019,1.60
30/12/2019,1.45
31/12/2019,1.54
,1.72
